#regionID	maxMismatching	starshipElements	starshipFamilies	refsWithValidatedSites	emptyRegions	emptyInsertionSites	fragmentedRegions	fragmentedInsertionSites	omesWithElement	omesWithEmpty	omesWithFrag
region0120	7	1	1	0	4	0	25	0	1	4	25
region0121	12	1	1	1	0	0	26	18	1	0	26
region0122	8	1	1	0	13	0	13	0	1	13	13
region0123	4	1	1	1	0	0	23	7	1	0	23
region0124	6	1	1	1	23	8	0	0	1	23	0
region0125	6	1	1	1	19	1	3	0	1	19	3
region0126	8	1	1	1	2	0	19	1	1	2	19
region0127	8	1	1	1	0	0	20	2	1	0	20
region0128	10	1	1	1	5	2	14	1	1	5	14
region0129	3	1	1	1	13	11	6	1	1	13	6
region0130	6	1	1	1	0	0	18	3	1	0	18
region0132	6	1	1	1	16	2	2	0	1	16	2
region0133	5	1	1	1	2	2	15	15	1	2	15
region0134	4	1	1	1	0	0	17	10	1	0	17
region0135	5	1	1	0	1	0	16	0	1	1	16
region0136	7	1	1	1	0	0	16	8	1	0	16
region0137	6	1	1	1	2	2	14	11	1	2	14
region0138	9	1	1	1	0	0	15	7	1	0	15
region0139	6	1	1	1	7	7	6	4	1	7	6
region0140	7	1	1	1	1	1	11	5	1	1	11
region0141	7	1	1	1	9	0	3	1	1	9	3
region0142	7	1	1	0	3	0	9	0	1	3	9
region0143	8	1	1	1	0	0	11	6	1	0	11
region0144	5	1	1	1	2	0	9	2	1	2	9
region0145	2	1	1	1	0	0	11	6	1	0	11
region0146	4	1	1	1	0	0	11	1	1	0	11
region0147	6	1	1	0	2	0	9	0	1	2	9
region0148	5	1	1	0	10	0	1	0	1	10	1
region0149	4	1	1	1	10	0	1	1	1	10	1
region0150	10	1	1	1	3	0	7	1	1	3	7
region0151	5	1	1	0	2	0	8	0	1	2	8
region0152	7	1	1	1	0	0	10	2	1	0	10
region0153	14	1	1	1	4	1	6	0	1	4	6
region0154	5	1	1	1	0	0	10	5	1	0	10
region0155	4	1	1	1	0	0	9	3	1	0	9
region0156	2	1	1	1	3	1	6	0	1	3	6
region0157	7	1	1	1	0	0	9	1	1	0	9
region0158	6	1	1	0	4	0	4	0	1	4	4
region0159	7	1	1	1	5	2	3	0	1	5	3
region0160	6	1	1	1	0	0	8	8	1	0	8
region0161	6	1	1	1	0	0	8	7	1	0	8
region0162	6	1	1	1	1	0	7	2	1	1	7
region0163	7	1	1	1	4	1	4	0	1	4	4
region0164	7	1	1	1	0	0	8	3	1	0	8
region0165	6	1	1	1	0	0	8	2	1	0	8
region0166	5	1	1	0	0	0	7	0	1	0	7
region0167	4	1	1	0	0	0	7	0	1	0	7
region0168	4	1	1	1	0	0	7	2	1	0	7
region0169	8	1	1	1	4	2	3	1	1	4	3
region0170	4	1	1	1	7	1	0	0	1	7	0
region0171	5	1	1	0	5	0	2	0	1	5	2
region0172	6	1	1	1	1	0	5	1	1	1	5
region0173	6	1	1	1	0	0	6	1	1	0	6
region0174	8	1	1	1	2	0	4	3	1	2	4
region0175	7	1	1	1	1	0	4	1	1	1	4
region0176	4	1	1	1	2	0	3	3	1	2	3
region0177	3	1	1	1	5	5	0	0	1	5	0
region0178	3	1	1	1	5	2	0	0	1	5	0
region0179	3	1	1	1	0	0	5	4	1	0	5
region0180	3	1	1	1	5	2	0	0	1	5	0
region0181	6	1	1	1	0	0	5	2	1	0	5
region0182	5	1	1	0	0	0	5	0	1	0	5
region0183	7	1	1	1	5	1	0	0	1	5	0
region0184	4	1	1	0	0	0	5	0	1	0	5
region0185	4	1	1	1	5	1	0	0	1	5	0
region0187	5	1	1	1	0	0	4	1	1	0	4
region0188	4	1	1	0	3	0	1	0	1	3	1
region0189	2	1	1	1	0	0	4	3	1	0	4
region0190	2	1	1	1	2	1	2	0	1	2	2
region0191	4	1	1	1	0	0	3	1	1	0	3
region0192	3	1	1	1	3	2	0	0	1	3	0
region0193	4	1	1	0	0	0	3	0	1	0	3
region0194	4	1	1	0	0	0	3	0	1	0	3
region0195	3	1	1	1	0	0	3	2	1	0	3
region0196	4	1	1	1	0	0	3	1	1	0	3
region0197	4	1	1	1	0	0	3	2	1	0	3
region0198	2	1	1	1	0	0	3	2	1	0	3
region0199	4	1	1	1	3	1	0	0	1	3	0
region0200	0	1	1	1	2	1	1	0	1	2	1
region0201	1	1	1	1	0	0	3	1	1	0	3
region0202	3	1	1	1	3	1	0	0	1	3	0
region0203	5	1	1	1	0	0	3	1	1	0	3
region0204	8	1	1	1	1	0	2	1	1	1	2
region0205	14	1	1	1	1	0	1	1	1	1	1
region0206	5	1	1	1	0	0	2	1	1	0	2
region0207	0	1	1	1	2	2	0	0	1	2	0
region0208	3	1	1	1	0	0	2	1	1	0	2
region0209	4	1	1	0	0	0	2	0	1	0	2
region0210	4	1	1	1	2	2	0	0	1	2	0
region0211	5	1	1	1	0	0	2	1	1	0	2
region0212	4	1	1	0	0	0	2	0	1	0	2
region0213	4	1	1	0	0	0	2	0	1	0	2
region0214	2	1	1	1	0	0	2	1	1	0	2
region0215	2	1	1	1	0	0	2	1	1	0	2
region0216	2	1	1	1	0	0	2	1	1	0	2
region0217	3	1	1	1	0	0	2	2	1	0	2
region0218	4	1	1	0	0	0	2	0	1	0	2
region0219	3	1	1	1	0	0	2	2	1	0	2
region0220	5	1	1	1	2	1	0	0	1	2	0
region0221	1	1	1	1	0	0	2	1	1	0	2
region0222	1	1	1	1	1	0	1	1	1	1	1
region0223	1	1	1	1	2	1	0	0	1	2	0
region0224	1	1	1	1	1	1	1	1	1	1	1
region0225	2	1	1	0	0	0	1	0	1	0	1
region0226	0	1	1	1	1	1	0	0	1	1	0
region0227	2	1	1	1	0	0	1	1	1	0	1
region0228	4	1	1	1	0	0	1	1	1	0	1
region0229	4	1	1	0	0	0	1	0	1	0	1
region0230	3	1	1	1	0	0	1	1	1	0	1
region0231	4	1	1	1	0	0	1	1	1	0	1
region0232	1	1	1	1	0	0	1	1	1	0	1
region0233	1	1	1	1	1	1	0	0	1	1	0
region0234	3	1	1	1	1	1	0	0	1	1	0
region0235	4	1	1	0	0	0	1	0	1	0	1
region0236	1	1	1	1	0	0	1	1	1	0	1
region0237	3	1	1	1	0	0	1	1	1	0	1
region0238	3	1	1	1	1	1	0	0	1	1	0
region0239	4	1	1	0	0	0	1	0	1	0	1
region0240	0	1	1	1	1	1	0	0	1	1	0
region0241	5	1	1	0	0	0	1	0	1	0	1
region0242	2	1	1	1	1	1	0	0	1	1	0
region0243	4	1	1	1	1	1	0	0	1	1	0
region0244	2	1	1	1	0	0	1	1	1	0	1
region0245	0	1	1	0	0	0	0	0	1	0	0
region0246	0	1	1	0	0	0	0	0	1	0	0
region0247	0	1	1	0	0	0	0	0	1	0	0
region0248	0	1	1	0	0	0	0	0	1	0	0
region0249	0	1	1	0	0	0	0	0	1	0	0
region0250	0	1	1	0	0	0	0	0	1	0	0
region0251	0	1	1	0	0	0	0	0	1	0	0
region0252	0	1	1	0	0	0	0	0	1	0	0
region0253	0	1	1	0	0	0	0	0	1	0	0
region0254	0	1	1	0	0	0	0	0	1	0	0
region0255	0	1	1	0	0	0	0	0	1	0	0
region0256	0	1	1	0	0	0	0	0	1	0	0
region0257	0	1	1	0	0	0	0	0	1	0	0
region0258	0	1	1	0	0	0	0	0	1	0	0
region0259	0	1	1	0	0	0	0	0	1	0	0
region0260	0	1	1	0	0	0	0	0	1	0	0
region0261	0	1	1	0	0	0	0	0	1	0	0
region0262	0	1	1	0	0	0	0	0	1	0	0
region0263	0	1	1	0	0	0	0	0	1	0	0
region0264	0	1	1	0	0	0	0	0	1	0	0
region0265	0	1	1	0	0	0	0	0	1	0	0
region0266	0	1	1	0	0	0	0	0	1	0	0
region0267	0	1	1	0	0	0	0	0	1	0	0
region0268	0	1	1	0	0	0	0	0	1	0	0
region0269	0	1	1	0	0	0	0	0	1	0	0
region0270	0	1	1	0	0	0	0	0	1	0	0
region0271	0	1	1	0	0	0	0	0	1	0	0
region0272	0	1	1	0	0	0	0	0	1	0	0
region0273	0	1	1	0	0	0	0	0	1	0	0
region0274	0	1	1	0	0	0	0	0	1	0	0
region0275	0	1	1	0	0	0	0	0	1	0	0
region0276	0	1	1	0	0	0	0	0	1	0	0
region0277	0	1	1	0	0	0	0	0	1	0	0
region0278	0	1	1	0	0	0	0	0	1	0	0
region0279	0	1	1	0	0	0	0	0	1	0	0
region0280	0	1	1	0	0	0	0	0	1	0	0
region0281	0	1	1	0	0	0	0	0	1	0	0
region0282	0	1	1	0	0	0	0	0	1	0	0
region0283	0	1	1	0	0	0	0	0	1	0	0
region0284	0	1	1	0	0	0	0	0	1	0	0
region0285	0	1	1	0	0	0	0	0	1	0	0
region0286	0	1	1	0	0	0	0	0	1	0	0
region0287	0	1	1	0	0	0	0	0	1	0	0
region0288	0	1	1	0	0	0	0	0	1	0	0
region0289	0	1	1	0	0	0	0	0	1	0	0
region0290	0	1	1	0	0	0	0	0	1	0	0
region0291	0	1	1	0	0	0	0	0	1	0	0
region0292	0	1	1	0	0	0	0	0	1	0	0
region0293	0	1	1	0	0	0	0	0	1	0	0
region0294	0	1	1	0	0	0	0	0	1	0	0
region0295	0	1	1	0	0	0	0	0	1	0	0
region0296	0	1	1	0	0	0	0	0	1	0	0
region0297	0	1	1	0	0	0	0	0	1	0	0
region0298	0	1	1	0	0	0	0	0	1	0	0
region0299	0	1	1	0	0	0	0	0	1	0	0
region0300	0	1	1	0	0	0	0	0	1	0	0
