agabis3	Agaricus	bisporus	varbisporusH97v2.0	0.0		Agabi_varbisH97_2	20210624	jgi	Morin_E_et_al.,2012	agabis3.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Agaricaceae					starfish	mycodb	tyr															
agraeg1	Agrocybe	aegerita		20200118	SAMEA104449891	SAMEA104449891	20210414	ncbi	2020/01/18	agraeg1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Bolbitiaceae					starfish	mycodb	tyr															
agrped1	Agrocybe	pediades	AH40210	v1.0		Agrped1	20210414	jgi	Ruiz-Dueñas FJ et al.,2020	agrped1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Bolbitiaceae					starfish	mycodb	tyr															
akalec1	Akanthomyces	lecanii	RCEF1005	20160504	SAMN04908331	SAMN04908331	20210414	ncbi	2016/05/04	akalec1.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Cordycipitaceae					starfish	mycodb	tyr															
akalec2	Akanthomyces	lecanii		20160527	SAMN04516662	SAMN04516662	20210414	ncbi	2016/05/27	akalec2.fa		sordariomyceta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Cordycipitaceae					starfish	mycodb	tyr															
alefal1	Alectoria	fallacina		2021-03-19	SAMEA8235474	alefal1	20210709	ncbi	2021/03/19	alefal1.fa	/home/adrian/Systematics/Starship_Database/starbase/SQL/data/faa/captain/tyr/mycodb/YRsuperfamRefs.part_alefal1_CAF9915422.1.faa	OSLEUM clade	Fungi	Ascomycota	Pezizomycotina	Lecanoromycetes	Lecanoromycetidae	Lecanorales	Parmeliaceae		Lecanorineae			starfish	mycodb	tyr														YRsuperfamRefs.part_alefal1_CAF9915422.1.faa	b60d8af337c411fa5c32d388a8ee0d12
altalt4	Alternaria	alternata	MPIPUGEAT0064	v1.0		Altalt1	20210414	jgi	Mesny F et al.,2021	altalt4.fa		dothideomyceta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporaceae		Pleosporineae			starfish	mycodb	tyr															
altalt5	Alternaria	alternata	SRC1lrK2f	v1.0		Altal1	20210414	jgi	Zeiner CA et al.,N/D	altalt5.fa		dothideomyceta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporaceae		Pleosporineae			starfish	mycodb	tyr															
altatr1	Alternaria	atra		2021-05-11	SAMEA7819814	altatr1	20210709	ncbi	2021/05/11	altatr1.fa		dothideomyceta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporaceae		Pleosporineae			starfish	mycodb	tyr															
altbur1	Alternaria	burnsii		20200930	SAMN13783390	SAMN13783390	20210414	ncbi	2020/05/11	altbur1.fa		dothideomyceta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporaceae		Pleosporineae			starfish	mycodb	tyr															
altpan1	Alternaria	panax		2021-10-19	SAMN14208101	altpan1	20211117	ncbi	2021/08/20	altpan1.fa		dothideomyceta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporaceae		Pleosporineae			starfish	mycodb	tyr															
altros1	Alternaria	rosae	MPIPUGEAT0040	v1.0		Altro1	20210414	jgi	Mesny F et al.,2021	altros1.fa		dothideomyceta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporaceae		Pleosporineae			starfish	mycodb	tyr															
altsp.4	Alternaria	sp.	MG1	2018-09-18 00:00:00	SAMN07980999	altsp.4	20210421	ncbi	2018/09/18	altsp.4.fa		dothideomyceta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporaceae		Pleosporineae			starfish	mycodb	tyr															
amabis1	Amanita	bisporigera	Ingham01	0.0		Amabi1	20210421	slot	1	amabis1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amabru1	Amanita	brunnescens	KoideBX004	0.0		Amabr1	20210421	slot	1	amabru1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amacit2	Amanita	citrina	M565	0.0		Amaci2	20210421	slot	1	amacit2.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amaino1	Amanita	inopinata	Kibby2008	0.0		Amain1	20210421	slot	1	amaino1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amajac1	Amanita	jacksonii	TRTC168611	0.0		Amaja1	20210421	slot	1	amajac1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amamus4	Amanita	muscaria	KoideBX008	0.0		Amamu2	20210421	slot	1	amamus4.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amamus5	Amanita	muscaria	PRM841	0.0		Amamu3	20210421	slot	1	amamus5.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amamus6	Amanita	muscaria	AMUS1	0.0		Amamu4	20210421	slot	1	amamus6.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amapha1	Amanita	phalloides	Alameda01	0.0		Amaph1	20210421	slot	1	amapha1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amapol1	Amanita	polypyramis	BWCC	0.0		Amapo1	20210421	slot	1	amapol1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amapse1	Amanita	pseudoporphyria	MG37	0.0		Amaps1	20210421	slot	1	amapse1.fa	/home/adrian/Systematics/Starship_Database/starbase/SQL/data/faa/captain/tyr/mycodb/YRsuperfamRefs.part_amapse1_tyr227.faa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr														YRsuperfamRefs.part_amapse1_tyr227.faa	bc7658252d6cc224c4b91b0a22bc6b70
amareg1	Amanita	regalis	AMAREG	0.0		Amare1	20210421	slot	1	amareg1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amarub1	Amanita	rubescens	Pilba	v1.0		Amarub1	20210414	jgi	Miyauchi S et al.,2020	amarub1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
amathi1	Amanita	thiersii	SKay4041	0.0		Amath1	20210421	slot	Hess J et al.,2014~Chaib De Mares M et al.,2015	amathi1.fa		Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Amanitaceae					starfish	mycodb	tyr															
