Executing command: /home/emile/scripts/glofish//bin/format-ncbi -r aspergillus_ncbi_notMycodb.txt -a aspergillus_assembly_paths.txt -c ../20211215.pub.genome_codes.txt
aspamo1	GCA_009812435.1	Aspergillus amoenus
aspsyd4	GCA_009828905.1	Aspergillus sydowii
aspter6	GCA_009834425.1	Aspergillus terreus
aspfla7	GCA_009856665.1	Aspergillus flavus
aspter7	GCA_009932835.1	Aspergillus terreus
asptub2	GCA_010614855.1	Aspergillus tubingensis
aspuda3	GCA_010723835.1	Aspergillus udagawae
asplen2	GCA_010723975.1	Aspergillus lentulus
aspuda4	GCA_010724135.1	Aspergillus udagawae
aspuda5	GCA_010724255.1	Aspergillus udagawae
aspuda6	GCA_010724335.1	Aspergillus udagawae
asplen3	GCA_010724455.1	Aspergillus lentulus
asplen4	GCA_010724575.1	Aspergillus lentulus
asplen5	GCA_010724635.1	Aspergillus lentulus
aspuda7	GCA_010724795.1	Aspergillus udagawae
asplen6	GCA_010724915.1	Aspergillus lentulus
aspnid3	GCA_011074995.1	Aspergillus nidulans
aspnid4	GCA_011075025.1	Aspergillus nidulans
aspnig13	GCA_011316255.1	Aspergillus niger
aspflo1	GCA_012184565.1	Aspergillus floridensis
aspwel4	GCA_012275225.1	Aspergillus welwitschiae
aspwel5	GCA_012365075.1	Aspergillus welwitschiae
aspfum11	GCA_012656225.1	Aspergillus fumigatiaffinis
aspfum12	GCA_012656285.1	Aspergillus fumigatiaffinis
aspfum13	GCA_012656295.1	Aspergillus fumigatiaffinis
aspfum14	GCA_012656325.1	Aspergillus fumigatiaffinis
asplen7	GCA_012656335.1	Aspergillus lentulus
asplen8	GCA_012656375.1	Aspergillus lentulus
asplen9	GCA_012656435.1	Aspergillus lentulus
asplen10	GCA_012656445.1	Aspergillus lentulus
aspfla8	GCA_012896415.1	Aspergillus flavus
aspfla9	GCA_012896875.1	Aspergillus flavus
aspfla10	GCA_012896995.1	Aspergillus flavus
asppar8	GCA_012897115.1	Aspergillus parasiticus
asppar9	GCA_013145845.1	Aspergillus parasiticus
asppar10	GCA_013145875.1	Aspergillus parasiticus
asppar11	GCA_013145995.1	Aspergillus parasiticus
asppar12	GCA_013146005.1	Aspergillus parasiticus
asppar13	GCA_013146145.1	Aspergillus parasiticus
aspspi2	GCA_013305485.1	Aspergillus spinulosporus
aspqua1	GCA_013305525.1	Aspergillus quadrilineatus
asplat1	GCA_013305935.1	Aspergillus latus
asplat2	GCA_013305975.1	Aspergillus latus
asplat3	GCA_013305995.1	Aspergillus latus
asplat4	GCA_013306175.1	Aspergillus latus
asplat5	GCA_013306195.1	Aspergillus latus
asplat6	GCA_013306215.1	Aspergillus latus
asplat7	GCA_013306895.1	Aspergillus latus
asptub3	GCA_013340325.1	Aspergillus tubingensis
aspory8	GCA_013407045.2	Aspergillus oryzae
aspnig14	GCA_013618955.1	Aspergillus niger
aspfla11	GCA_014117465.1	Aspergillus flavus NRRL3357
aspfla12	GCA_014117485.1	Aspergillus flavus
aspoer1	GCA_014250555.1	Aspergillus oerlinghausenensis
aspfis5	GCA_014250575.1	Aspergillus fischeri
asphir1	GCA_014281905.1	Aspergillus hiratsukae
asphir2	GCA_014281935.1	Aspergillus hiratsukae
aspfla13	GCA_014784225.2	Aspergillus flavus
aspter8	GCA_015266375.1	Aspergillus terreus
aspter9	GCA_015333565.1	Aspergillus terreus
aspfum15	GCA_015572005.1	Aspergillus fumigatus
aspfum16	GCA_015572015.1	Aspergillus fumigatus
aspfum17	GCA_015572025.1	Aspergillus fumigatus
aspfum18	GCA_015586125.1	Aspergillus fumigatus
aspung2	GCA_015586375.1	Aspergillus unguis
aspele1	GCA_016097275.1	Aspergillus elegans
aspmel1	GCA_016097325.1	Aspergillus melleus
aspasp5	GCA_016162245.1	Aspergillus sp. A31
aspacu4	GCA_016748025.1	Aspergillus aculeatinus
aspjap3	GCA_016808025.1	Aspergillus japonicus
aspter10	GCA_016808415.1	Aspergillus terreus
aspluc5	GCA_016860305.1	Aspergillus luchuensis
aspluc6	GCA_016860325.1	Aspergillus luchuensis
aspluc7	GCA_016860345.1	Aspergillus luchuensis
aspluc8	GCA_016860365.1	Aspergillus luchuensis
aspluc9	GCA_016860385.1	Aspergillus luchuensis
aspluc10	GCA_016860425.1	Aspergillus luchuensis
aspluc11	GCA_016860445.1	Aspergillus luchuensis
aspluc12	GCA_016861625.1	Aspergillus luchuensis
aspche2	GCA_016861735.1	Aspergillus chevalieri
asppuu1	GCA_016861865.1	Aspergillus puulaauensis
aspluc13	GCA_016865315.1	Aspergillus luchuensis
aspasp6	GCA_016880755.1	Aspergillus sp. 2663
aspory9	GCA_018140735.1	Aspergillus oryzae
aspory10	GCA_018140755.1	Aspergillus oryzae
aspory11	GCA_018140865.1	Aspergillus oryzae
aspasp7	GCA_018167545.1	Aspergillus sp. MCCF 102
asppse15	GCA_018340605.1	Aspergillus pseudoviridinutans
aspvir2	GCA_018404265.1	Aspergillus viridinutans
aspung3	GCA_018408605.1	Aspergillus unguis
aspung4	GCA_018408615.1	Aspergillus unguis
aspory12	GCA_019097755.1	Aspergillus oryzae
aspasp8	GCA_019176365.1	Aspergillus sp. GbtcF1
aspasp9	GCA_019176375.1	Aspergillus sp. GbtcF2
aspnig15	GCA_019288275.1	Aspergillus niger
asppar14	GCA_019419805.1	Aspergillus parasiticus
